Unnamed: 0,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude
3446,6721,6514.0,6479.0,732,Carnegie Motors,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-09-01 15:21:00.53744,2020-09-01 15:21:03.241827,2.0,5,False,True,1,42.0,3000.0,0.07,,1,7735.0,18333.33333333333,1,16.0,16.0,16.0,200.0,9600000.0,16.666666666666668,3200.0,1,1,893.76,893.76,,3769.9680799999996,4.22,23.707362530241895,1000 Washington Ave.,Carnegie,PA,15106.0,40.40059,-80.13332
3446,6721,6514.0,6479.0,732,Carnegie Motors,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-09-01 15:21:00.53744,2020-09-01 15:21:03.241827,2.0,5,False,True,1,42.0,3000.0,0.07,,1,7735.0,18333.33333333333,1,16.0,16.0,16.0,200.0,9600000.0,16.666666666666668,3200.0,1,1,893.76,893.76,,3769.9680799999996,4.22,23.707362530241895,1000 Washington Ave.,Carnegie,PA,15106.0,40.39229,-80.09089
3446,6721,6514.0,6479.0,732,Carnegie Motors,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-09-01 15:21:00.53744,2020-09-01 15:21:03.241827,2.0,5,False,True,1,42.0,3000.0,0.07,,1,7735.0,18333.33333333333,1,16.0,16.0,16.0,200.0,9600000.0,16.666666666666668,3200.0,1,1,893.76,893.76,,3769.9680799999996,4.22,23.707362530241895,1000 Washington Ave.,Carnegie,PA,15106.0,40.3984,-80.14145
3446,6721,6514.0,6479.0,732,Carnegie Motors,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-09-01 15:21:00.53744,2020-09-01 15:21:03.241827,2.0,5,False,True,1,42.0,3000.0,0.07,,1,7735.0,18333.33333333333,1,16.0,16.0,16.0,200.0,9600000.0,16.666666666666668,3200.0,1,1,893.76,893.76,,3769.9680799999996,4.22,23.707362530241895,1000 Washington Ave.,Carnegie,PA,15106.0,40.42562,-80.09394
3446,6721,6514.0,6479.0,732,Carnegie Motors,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-09-01 15:21:00.53744,2020-09-01 15:21:03.241827,2.0,5,False,True,1,42.0,3000.0,0.07,,1,7735.0,18333.33333333333,1,16.0,16.0,16.0,200.0,9600000.0,16.666666666666668,3200.0,1,1,893.76,893.76,,3769.9680799999996,4.22,23.707362530241895,1000 Washington Ave.,Carnegie,PA,15106.0,40.3875,-80.0792
3447,6722,6499.0,6464.0,480,A-American Machine & Assembly,25.0,Industrial - 1 Shift,,Kub Inc,2020-03-19 07:04:51.526912,2020-03-19 07:04:53.453696,2.0,5,False,True,3,8.0,4368.0,0.1,,3,10170.0,10000.0,3,24.0,24.0,15.0,352.0,7010640.0,68.68131868131869,1605.0,4,4,2181.8160000000007,2198.4144,,4921.520288461538,2.49,44.669416585646594,2620 Auburn Street,Rockford,IL,61101.0,42.382670000000005,-89.10712
3448,6722,6550.0,6515.0,480,A-American Machine & Assembly,25.0,Industrial - 1 Shift,,Kub Inc,2020-03-19 07:04:53.515632,2020-03-19 07:04:55.643021,2.0,5,False,True,3,8.0,4368.0,0.1,,3,10170.0,10000.0,3,24.0,24.0,15.0,352.0,7010640.0,68.68131868131869,1605.0,4,4,2181.8160000000007,2198.4144,,4496.520288461538,2.27,48.891459594685294,2620 Auburn Street,Rockford,IL,61101.0,42.382670000000005,-89.10712
3449,6723,6500.0,6465.0,579,Rush - Springville,,,,"Hartmann, Schaden and Volkman",2020-03-19 07:20:18.590197,2020-03-19 07:20:26.961284,2.0,5,False,True,10,768.0,3307.5,0.13699999999999998,,10,1279680.0,11562.5,10,251.0,277.0,148.0,1318.0,29004360.0,458.2814445828144,7224.0,34,43,8088.558775,8088.558775,0.0,24028.81,2.97,33.661919899487316,,,,,,
3450,6725,6501.0,6466.0,463,Fox Chapel Mews,,,,"McKenzie, Beer and Yundt",2020-03-19 07:20:15.587554,2020-03-19 07:20:18.490175,2.0,5,False,True,7,56.0,8760.0,0.09,,7,28000.0,14428.571428571428,7,364.0,829.0,829.0,144.0,129026040.0,39.954337899543376,14729.0,7,11,5375.3112,5375.3112,6500.0,24798.74,4.61,21.67574320308209,,,,,,
3452,6730,6504.0,6469.0,488,AVERY ROW,,,,Conn-Nienow,2020-03-19 07:20:09.952062,2020-03-19 07:20:12.58386,2.0,5,False,True,6,6.0,4800.0,0.08,,6,810.0,20000.0,6,61.0,61.0,61.0,62.0,3340800.0,31.25,696.0,6,6,339.456,532.6560000000002,,1493.92,2.8,35.65492128092537,,,,,,
3453,6732,6536.0,6501.0,725,Brookdale-Belle Meade 1st floor,39.0,Nursing Homes,,Murray and Sons,2020-03-19 07:15:40.124315,2020-03-19 07:15:47.328138,2.0,5,False,True,1,7568.0,4419.818181818181,0.1,,1,409145.0,25812.5,1,0.0,0.0,10.0,40.0,1752000.0,13.698630136986301,400.0,1,1,89.48340000000009,89.48340000000009,,26554.61818181821,,0.33697867311558194,,,,,,
3454,6735,6752.0,6723.0,348,Kerioth- First Commercial Building ,40.0,Office (General Office Types),,"Bailey, Schaden and Breitenberg",2020-03-18 06:03:35.124077,2020-03-18 06:03:41.337634,2.0,5,False,True,12,17.0,3120.0,0.1,,12,12372.0,15470.58823529412,12,337.0,337.0,337.0,296.0,28342080.0,330.1282051282052,9084.0,15,15,8059.584,12751.584,7368.9,52433.963636363565,4.11,24.31932113397704,,,,,,
3455,6736,6523.0,6488.0,545,York Traditions Bank Corporate Office,,,,Hintz-Kuhlman,2020-03-19 07:18:08.238171,2020-03-19 07:18:22.096225,2.0,5,False,True,1,140.0,3086.5,0.11,,1,8120.0,20000.0,1,5460.0,5460.0,312.0,2378.600000000001,24808118.39999999,1495.7264957264981,10601.759999999991,70,70,898.6142880000001,898.6142880000001,,16175.76948,,5.555310918043571,226 Pauline Drive,York,PA,17402.0,39.97371,-76.68636
3455,6736,6523.0,6488.0,545,York Traditions Bank Corporate Office,,,,Hintz-Kuhlman,2020-03-19 07:18:08.238171,2020-03-19 07:18:22.096225,2.0,5,False,True,1,140.0,3086.5,0.11,,1,8120.0,20000.0,1,5460.0,5460.0,312.0,2378.600000000001,24808118.39999999,1495.7264957264981,10601.759999999991,70,70,898.6142880000001,898.6142880000001,,16175.76948,,5.555310918043571,226 Pauline Drive,York,PA,17402.0,39.98883,-76.67648
