project_id,proposal_id,option_id,option_calculation_id,net_replacement_cost,total_savings_per_year,roi,created_at,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sum_sqft,count_areas_sqft_null,count_areas_sqft_not_null,lightning_intensity_kwh_over_sqft
709,695,695,693,328,200,0.611214515,07-05-2018,2928,924,2004,750,0,1,3.904
800,799,799,1580,2599,1626,0.625724135,08-05-2018,28347,12086,16261,5000,0,1,5.6693376
1589,1828,1828,151,1057,665,0.629334713,05-05-2018,6784,2628,4156,1812,0,5,3.744
262,251,250,261,35116,22262,0.633940719,05-05-2018,268069,71584,196485,208000,0,7,1.288793077
262,261,250,261,35116,22262,0.633940719,05-05-2018,268069,71584,196485,208000,0,7,1.288793077
847,857,857,1630,75,54,0.721683929,08-05-2018,960,420,540,69,0,1,13.91304348
1473,1673,1673,1947,20612,15530,0.753420683,09-05-2018,262314,107019,155295,25000,0,1,10.4925528
90,54,51,1275,13810,10762,0.77923937,08-05-2018,135342,52560,82782,24320,0,1,5.565049342
1371,1601,1601,554,297,234,0.786352413,06-05-2018,3012,2263,749,3000,0,2,1.003946667
1248,1453,1453,1816,1290,1029,0.798077333,08-05-2018,15276,3838,11438,1500,0,1,10.184
1322,1543,1543,1850,1741,1418,0.814849073,09-05-2018,24484,8725,15759,4000,0,1,6.121
1775,2012,2012,1170,25652,21973,0.856577405,07-05-2018,228774,114482,114292,29000,0,1,7.888757586
608,587,589,589,3742,3329,0.889522528,06-05-2018,40511,7220,33290,5000,0,3,8.102124
608,588,589,589,3742,3329,0.889522528,06-05-2018,40511,7220,33290,5000,0,3,8.102124
1789,2021,2021,448,27574,25023,0.907478009,06-05-2018,277680,93600,184080,100000,0,1,2.7768
756,744,744,1614,2227,2171,0.974811859,08-05-2018,38154,16446,21708,5000,0,1,7.6308
365,331,325,341,9552,9609,1.005937005,06-05-2018,154638,58552,96086,14000,0,1,11.04560229
1111,1365,1365,1764,1985,2015,1.014780595,08-05-2018,23506,7579,15927,500,0,2,47.01127
1408,1619,1619,1881,926,945,1.020435325,09-05-2018,15783,5283,10500,1500,0,1,10.52186667
238,187,188,1636,86113,89838,1.043259239,08-05-2018,1269840,431550,838290,190000,0,1,6.683368421
311,270,268,679,1732,1937,1.11839729,07-05-2018,27705,3798,23907,3600,0,2,7.695833333
1111,1309,1309,1765,1803,2036,1.129507753,08-05-2018,23506,7409,16097,500,0,2,47.01127
691,681,681,1562,14190,16692,1.176306842,08-05-2018,370863,157680,213183,50000,0,1,7.4172672
1371,1600,1600,572,1169,1397,1.195268615,06-05-2018,3012,842,2169,3000,0,2,1.003946667
147,102,101,1311,53984,69626,1.289753571,08-05-2018,582680,173115,409565,100000,0,1,5.8268016
944,1054,1054,704,13483,19955,1.479963073,07-05-2018,419264,169825,249438,100000,0,1,4.19263728
788,781,781,1575,2720,4102,1.508039245,08-05-2018,60147,19129,41018,8000,0,1,7.518406875
611,590,591,123,6122,11135,1.818897548,05-05-2018,116931,5584,111347,5000,0,1,23.38628
611,591,591,123,6122,11135,1.818897548,05-05-2018,116931,5584,111347,5000,0,1,23.38628
807,809,809,1758,8833,17598,1.992278011,08-05-2018,299570,123588,175982,15000,0,1,19.97131833
649,844,844,1557,1340,2774,2.070800208,08-05-2018,3690,1724,1966,26395,0,3,0.139799204
855,875,875,1146,2789,5816,2.085175956,07-05-2018,68910,10753,58157,8000,0,1,8.613725
804,806,806,1582,11229,23996,2.136991751,08-05-2018,372597,132640,239957,50000,0,1,7.45194024
593,571,572,537,4654,10494,2.254939418,06-05-2018,115486,10541,104945,15000,0,1,7.699066667
801,801,801,1581,2240,5235,2.3364574,08-05-2018,82187,29839,52348,5000,0,1,16.4373664
451,1622,1622,1466,100,259,2.591725744,08-05-2018,37783,35861,1922,1000,0,1,37.7832
337,305,299,140,49248,133208,2.704842105,05-05-2018,2287411,1681920,605491,465000,0,1,4.919163871
649,637,637,1558,1080,2960,2.741015893,08-05-2018,3690,1592,2098,26395,0,3,0.139799204
1583,1818,1818,622,226,651,2.885609543,06-05-2018,6881,4316,2565,992,0,3,6.936548387
354,321,317,154,628,2174,3.463690949,05-05-2018,24720,4960,19760,2000,0,1,12.36
345,312,309,1409,13152,58587,4.45459854,08-05-2018,327974,61670,266304,116250,0,1,2.821285161
769,2631,2631,2596,957,4367,4.562341977,04-09-2018,62848,19180,43668,18000,0,1,3.491555556
513,479,474,1467,2334,11938,5.114887234,08-05-2018,9253,3940,5313,6000,0,3,1.5421125
601,584,586,127,669,3650,5.457323131,05-05-2018,116067,85654,30414,10500,0,1,11.05404114
755,742,742,1611,995,7753,7.78843739,08-05-2018,7944,2514,5430,3000,0,1,2.648
1519,1743,1743,638,8338,72969,8.750839318,06-05-2018,127940,58692,69248,19400,0,2,6.594835052
802,804,804,1625,87,791,9.064920042,08-05-2018,10555,2641,7915,2000,0,1,5.27774
761,749,749,1615,1151,12174,10.58042,08-05-2018,99981,51103,48878,6480,0,4,15.4291358
342,311,305,1354,24000,299635,12.4848,08-05-2018,2080800,208080,1872720,535226,0,1,3.887703512
1426,1628,1628,1924,3360,62640,18.64158609,09-05-2018,43767,17769,25998,4000,0,1,10.94184
1304,1524,1524,481,121932,2424333,19.88271432,06-05-2018,53592,20100,33492,2000,0,1,26.796
791,784,784,1622,228,4585,20.10343826,08-05-2018,54723,8875,45848,8000,0,1,6.840328125
799,794,794,1578,23,548,23.87020248,08-05-2018,7202,1720,5482,15000,0,1,0.480148
1223,1423,1423,1793,6553,1236269,188.6483234,08-05-2018,101934,42012,59922,10000,0,1,10.1934
