project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings
7562,7173.0,7144.0,213,The Boulders @ Riverwoods,,,2336.0,Leffler and Sons,2020-04-09 13:36:53.489188,2020-04-09 13:36:54.252704,2.0,5,False,True,4,40.0,,,,4,4800.0,18000.0,4,658.0,658.0,204.0,216.0,0.0,0.0,1800.0,20,20,0.0,0.0,,11618.524399999998,,0.0,,,,,,,0.0,0.0,0.0
7564,7171.0,7142.0,213,USPS- South Portland,47.0,Post Office,2336.0,Leffler and Sons,2020-03-18 05:08:31.456817,2020-03-18 05:08:32.324002,2.0,5,False,True,1,1.0,2548.0,,,1,112.0,20000.0,1,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,,858.0,,0.0,,,,,,,3709.888,0.0,3709.888
7582,7342.0,7338.0,581,North state Supply,,,2239.0,"Harvey, Kozey and Schuster",2020-04-02 22:30:48.077891,2020-04-02 22:30:50.469379,2.0,5,False,True,5,20.0,4000.0,0.11,,5,11200.0,18000.0,5,151.0,161.0,151.0,163.0,25620000.0,75.0,6405.0,6,8,2663.76,2663.76,,23656.5625,7.78,11.260131306059366,,,,,,,49836.0,25620.0,24216.0
7583,7014.0,6985.0,327,Eastern Mountain Sports (Albany),52.0,Retail,2249.0,"Collier, Barrows and Runolfsdottir",2020-03-18 06:17:39.070447,2020-03-18 06:17:42.898245,2.0,5,False,True,4,40.0,4200.0,0.18,,4,16288.0,12200.0,4,191.0,338.0,202.0,211.0,33238800.0,130.95238095238096,7914.0,11,23,5649.5880000000025,5649.5880000000025,,23026.4,3.86,24.53526387103499,1475 Western Avenue ,Albany,NY,12203.0,42.682526,-73.83845,62878.2,31491.6,31386.6
7583,7016.0,6987.0,327,Eastern Mountain Sports (Albany),52.0,Retail,2249.0,"Collier, Barrows and Runolfsdottir",2020-03-18 06:17:34.53132,2020-03-18 06:17:38.943485,2.0,5,False,True,4,40.0,4200.0,0.18,,4,16288.0,12200.0,4,191.0,338.0,202.0,161.0,18538800.0,130.95238095238096,4414.0,11,23,8295.588,8295.588,,12050.4,1.44,68.84076877116112,1475 Western Avenue ,Albany,NY,12203.0,42.682526,-73.83845,62878.2,16791.6,46086.6
7596,7022.0,6993.0,732,Comfort inn Youngstown ohio,32.0,Lodging (Hotels/Motels),,"Lubowitz, Conn and Will",2020-03-18 06:09:55.106846,2020-03-18 06:10:03.915608,2.0,5,False,True,12,570.0,6387.5,0.09,,12,1888752.0,12266.666666666668,12,470.0,470.0,270.0,1413.0,56834880.0,261.2598588625986,11922.0,38,38,13742.69895,13742.69895,,15850.696832579199,1.15,86.70091350024143,,,,,,,197530.335,44833.68,152696.655
7602,7141.0,7112.0,581,Super City Manufacturing Audit,,,2239.0,"Harvey, Kozey and Schuster",2020-07-08 16:09:16.658345,2020-07-08 16:09:21.18683,2.0,5,False,True,9,36.0,5000.0,0.107,,9,73584.0,16666.666666666668,9,317.0,317.0,227.0,1139.0,79795000.0,140.0,15959.0,14,14,16965.385,18014.135,3500.0,64109.5,3.55,28.09901028708693,,,,,,,238350.0,79795.0,158555.0
7605,7110.0,7081.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:56.785084,2020-10-30 19:07:01.357283,2.0,5,False,True,15,11440.0,8760.0,0.085,,15,8166600.0,16954.545454545452,15,33776.0,33459.0,5986.0,12466.5,912459120.0,3584.4748858447447,104162.0,654,631,18515.9682,24847.7692,5466.0,57866.675,2.32,42.93968713426164,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,391957.44,174122.52,217834.92
7605,7135.0,7106.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:53.760961,2020-10-30 19:06:56.646755,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,32798.0,32377.0,5986.0,12466.5,912459120.0,3584.4748858447456,104162.0,653,629,18984.3216,25718.7906,5951.5,60780.625,2.35,42.314126582278476,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,406761.84,183416.88,223344.96
7605,7136.0,7107.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:49.491002,2020-10-30 19:06:53.59506,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,37398.0,37059.0,5986.0,12466.5,912459120.0,3584.474885844746,104162.0,653,629,14673.8322,20720.7872,5986.0,53669.85,2.57,38.6078723901781,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,324680.64,152047.32,172633.32
