project_id,proposal_id,option_id,option_calculation_id,net_replacement_cost,total_savings_per_year,roi,created_at,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sum_sqft,count_areas_sqft_null,count_areas_sqft_not_null,existing_eui_kbtu_over_sqft
1371,1600,1600,572,1169,1397,1.195268615,06-05-2018,3012,842,2169,3000,0,2,3.425606579
1371,1601,1601,554,297,234,0.786352413,06-05-2018,3012,2263,749,3000,0,2,3.425606579
1408,1619,1619,1881,926,945,1.020435325,09-05-2018,15783,5283,10500,1500,0,1,35.90208213
1426,1628,1628,1924,3360,62640,18.64158609,09-05-2018,43767,17769,25998,4000,0,1,37.33508994
1473,1673,1673,1947,20612,15530,0.753420683,09-05-2018,262314,107019,155295,25000,0,1,35.80205911
1519,1743,1743,638,8338,72969,8.750839318,06-05-2018,127940,58692,69248,19400,0,2,22.50250047
1583,1818,1818,622,226,651,2.885609543,06-05-2018,6881,4316,2565,992,0,3,23.66847421
1589,1828,1828,151,1057,665,0.629334713,05-05-2018,6784,2628,4156,1812,0,5,12.77505216
1647,1891,1891,1984,2678,847,0.316381658,09-05-2018,11883,4110,7773,6000,0,1,6.757675027
1740,1976,1976,946,676,203,0.300769231,07-05-2018,3528,1495,2033,2000,0,1,6.019356174
1775,2012,2012,1170,25652,21973,0.856577405,07-05-2018,228774,114482,114292,29000,0,1,26.91754531
1789,2021,2021,448,27574,25023,0.907478009,06-05-2018,277680,93600,184080,100000,0,1,9.474830352
2233,2622,2622,2587,6208,1950,0.31416191,30-08-2018,26961,8472,18489,15000,0,1,6.132980436
7817,7316,7303,7299,53750,26509,0.493189927,27-03-2020,300482,106985,193497,144828,0,1,7.079339986
8042,7344,7331,7327,54409,27595,0.507174449,01-04-2020,300482,99060,201422,144828,0,1,7.079339986
8636,7766,7753,7749,125554,48332,0.384950465,09-06-2020,650894,191277,459618,46485,0,1,47.77762328
